motif_id	candidate_index	disease_local_id	disease_name	disease_mesh_id	drug_local_id	drug_name	drugbank_id	gene_local_id	gene_symbol	gene_entrez_id	evidence_source	HANAMI_motif_percentile	TriMoGCL_motif_percentile	TriNet_motif_percentile	N2V_MLP_motif_percentile	RF_motif_percentile	supporting_trials
226	17638	190	Schizophrenia	D012559	174	pramipexole	DB00413	1405	DRD3	1814	strict_phase2_3_disease_directed_title	10.7907245632	5.4160243234	32.8376584447	30.1496659815	49.0697798904	NCT01320982[PHASE3] Minocycline, Acetylsalicylic Acid or Pramipexole vs Placebo in Patients With Schizophrenia or Schizoaffective Disorder
229	38827	190	Schizophrenia	D012559	181	methylphenidate	DB00422	3104	SLC6A2	6530	strict_phase2_3_disease_directed_title	14.0581106543	8.8773980815	39.5250942103	32.4494689962	40.9755053100	NCT05414058[PHASE2] Adjunctive Methylphenidate ER in Patients With Schizophrenia to Improve Functional and Cognitive Outcomes
242	1594	190	Schizophrenia	D012559	400	estradiol	DB00783	72	ESR1	2099	strict_phase2_3_disease_directed_title	12.8370161014	11.5966512504	21.2917523124	9.3191161357	7.4567488866	NCT00206570[PHASE2] Clinical Estradiol Trial in Women With Schizophrenia; NCT03848234[PHASE3] Estradiol Patch as add-on to Antipsychotics in Patients With Schizophrenia, Schizoaffective or Schizophreniform Disorder
244	38074	190	Schizophrenia	D012559	34	lorazepam	DB00186	3044	GABRA6	2559	strict_phase2_3_disease_directed_title	9.5649194930	13.5024837273	31.4988009592	23.4553785543	44.4394484412	NCT00797277[PHASE3] Intramuscular (IM) Olanzapine Versus IM Haloperidol Plus Lorazepam for Acute Agitation in Schizophrenia
260	1416	190	Schizophrenia	D012559	217	raloxifene	DB00481	72	ESR1	2099	strict_phase2_3_disease_directed_title	15.1333932854	9.0360568688	18.8176601576	8.0382836588	6.4408830079	NCT01280305[PHASE3] Raloxifene in Treatment of Schizophrenia and Schizoaffective Disorder; NCT01573637[PHASE3] Raloxifene as an Adjuvant Treatment of the Negative Symptoms of Schizophrenia in Post-menopausal Women; NCT03043820[PHASE3] Raloxifene Augmentation in Patients With a Schizophrenia Spectrum Disorder
262	38202	190	Schizophrenia	D012559	34	lorazepam	DB00186	3045	GABRB1	2560	strict_phase2_3_disease_directed_title	9.4184652278	12.1931740322	48.7305155875	27.5308324769	41.3625171292	NCT00797277[PHASE3] Intramuscular (IM) Olanzapine Versus IM Haloperidol Plus Lorazepam for Acute Agitation in Schizophrenia
270	45556	190	Schizophrenia	D012559	34	lorazepam	DB00186	3920		2561	strict_phase2_3_disease_directed_title	10.0982785200	14.8580421377	28.4395340870	20.6665381980	34.1303742720	NCT00797277[PHASE3] Intramuscular (IM) Olanzapine Versus IM Haloperidol Plus Lorazepam for Acute Agitation in Schizophrenia
307	8194	190	Schizophrenia	D012559	34	lorazepam	DB00186	583	GABRD	2563	strict_phase2_3_disease_directed_title	11.4407759507	18.5054813292	68.1072285029	27.9125984926	60.2894826996	NCT00797277[PHASE3] Intramuscular (IM) Olanzapine Versus IM Haloperidol Plus Lorazepam for Acute Agitation in Schizophrenia
315	13883	83	Lung Neoplasms	D008175	415	pentoxifylline	DB00806	1092	TNF	7124	strict_phase2_3_disease_directed_title	13.1930883864	12.2556954436	39.2315433368	18.2029376499	25.0570614937	NCT01871454[PHASE2] Safety of Pentoxifylline and Vitamin E With Stereotactic Ablative Radiotherapy (SABR) in Non-small Cell Lung Cancers; NCT06634056[PHASE2] Pneumonitis Prevention Protocol Using Pentoxifylline and α-tocopherol In Stage III Non-Small Cell Lung Cancer Patients Undergoing Chemoradiation
321	12107	18	Arthritis, Rheumatoid	D001172	713	Lumiracoxib	DB01283	985	PTGS2	5743	strict_phase2_3_disease_directed_title	15.1593011305	16.4910928400	37.9755481329	23.5829907503	32.1195186708	NCT00170872[PHASE3] 6 Week Open-label Trial With Lumiracoxib 200mg o.d. in Primary Knee Osteoarthritis or Rheumatoid Arthritis
326	11709	265	Colorectal Neoplasms	D015179	496	aspirin	DB00945	985	PTGS2	5743	strict_phase2_3_disease_directed_title	15.3815519013	17.3781688935	44.7608341898	33.8142343268	16.5296334361	NCT02467582[PHASE3] Adjuvant Aspirin Treatment for Colon Cancer Patients; NCT02607072[PHASE3] Aspirin for Prevention of Postsurgical Recurrence and Metastasis in Asian Colorectal Cancer Patients: a Multi-center Randomized Trial; NCT02945033[PHASE3] Study on Aspirin Versus Placebo in Resected Colon Cancer With PI3K Mutation Stage III or II High Risk; NCT03170115[PHASE2] Induction Chemotherapy Plus Chemoradiotherapy With or Without Aspirin in High Risk Rectal Cancer; NCT04534218[PHASE2] Regorafenib in Combination With Metronomic Chemotherapies, and Low-dose Aspirin in Metastatic Colorectal Cancer; NCT05462613[PHASE2|PHASE3] Regorafenib With Low-dose Chemotherapies and Aspirin Followed by Standard Chemotherapies in Metastatic Colorectal Cancer
336	24328	190	Schizophrenia	D012559	840	armodafinil	DB06413	1566	SLC6A3	6531	strict_phase2_3_disease_directed_title	18.4196214457	12.4034343953	31.9623586845	19.2176258993	31.5122901679	NCT00772005[PHASE2] Study to Evaluate the Efficacy and Safety of Armodafinil as Adjunctive Therapy in Adults With Schizophrenia
338	23908	190	Schizophrenia	D012559	99	atomoxetine	DB00289	1566	SLC6A3	6531	strict_phase2_3_disease_directed_title	16.0435936965	6.7176258993	28.1661099692	11.4422747516	22.5472122302	NCT00216281[PHASE3] Efficacy and Safety Study of Clozapine Augmented by Atomoxetine Versus Clozapine Augmented by Placebo in Patients With Chronic Resistant Schizophrenia; NCT00420498[PHASE2] Effects of Atomoxetine on Cognitive Function in Schizophrenia
341	12010	219	Melanoma	D008545	562	Thalidomide	DB01041	985	PTGS2	5743	strict_phase2_3_disease_directed_title	18.1943730730	14.7565519013	44.5143884892	23.2663155190	19.1579950325	NCT00005815[PHASE1|PHASE2] Temozolomide and Thalidomide in Treating Patients With Stage III or Stage IV Melanoma; NCT00006200[PHASE2] Thalidomide and Dacarbazine for Metastatic Melanoma; NCT00017316[PHASE2] Thalidomide and SU5416 in Treating Patients With Metastatic Melanoma; NCT00026520[PHASE2] Interferon Alfa and Thalidomide in Treating Patients With Stage IV Melanoma; NCT00072163[PHASE2] Temozolomide and Thalidomide in Treating Patients With Brain Metastases Secondary to Melanoma; NCT00072345[PHASE2] Temozolomide, Thalidomide, and Lomustine in Treating Patients With Unresectable Stage III or Stage IV Melanoma; NCT00104988[PHASE2] S0508: Thalidomide and Temozolomide in Treating Patients With Stage IV Melanoma That Cannot Be Removed By Surgery; NCT00238329[PHASE2] PEG-Interferon Alfa-2b and Thalidomide in Treating Patients With Recurrent or Metastatic Melanoma
342	24563	190	Schizophrenia	D012559	34	lorazepam	DB00186	1600	GABRB3	2562	strict_phase2_3_disease_directed_title	10.2991178486	13.7902535115	23.5251798561	10.1111253854	30.5087358684	NCT00797277[PHASE3] Intramuscular (IM) Olanzapine Versus IM Haloperidol Plus Lorazepam for Acute Agitation in Schizophrenia
343	34171	190	Schizophrenia	D012559	34	lorazepam	DB00186	2539	GABRA4	2557	strict_phase2_3_disease_directed_title	10.1736467968	13.3566718054	48.6891915039	35.1462401507	58.5619004796	NCT00797277[PHASE3] Intramuscular (IM) Olanzapine Versus IM Haloperidol Plus Lorazepam for Acute Agitation in Schizophrenia
348	23950	190	Schizophrenia	D012559	181	methylphenidate	DB00422	1566	SLC6A3	6531	strict_phase2_3_disease_directed_title	16.5583247688	10.6346351490	36.0433795820	21.0812778349	24.7383521754	NCT05414058[PHASE2] Adjunctive Methylphenidate ER in Patients With Schizophrenia to Improve Functional and Cognitive Outcomes
357	24052	190	Schizophrenia	D012559	374	modafinil	DB00745	1566	SLC6A3	6531	strict_phase2_3_disease_directed_title	17.9292994176	9.4287427201	30.8862195958	17.2383521754	34.4338814663	NCT00314639[PHASE1|PHASE2] Modafinil as an Adjunctive on Cognitive Functioning in Patients With Schizophrenia; NCT00838227[PHASE2] Modafinil Augmentation in Chronic Schizophrenia and Schizoaffective Disorder
358	29929	190	Schizophrenia	D012559	174	pramipexole	DB00413	2206	HTR1D	3352	strict_phase2_3_disease_directed_title	13.7744090442	5.7992891401	55.8802243919	38.1556183625	68.9711801987	NCT01320982[PHASE3] Minocycline, Acetylsalicylic Acid or Pramipexole vs Placebo in Patients With Schizophrenia or Schizoaffective Disorder
360	21112	18	Arthritis, Rheumatoid	D001172	415	pentoxifylline	DB00806	1509	ADORA2A	135	strict_phase2_3_disease_directed_title	9.4790596095	21.9593610826	44.6961716341	27.3070829051	73.2034729359	NCT06998628[PHASE2] Pentoxifylline as Anti-Inflammatory in Patients With Rheumatoid Arthritis
368	24241	190	Schizophrenia	D012559	641	escitalopram	DB01175	1566	SLC6A3	6531	strict_phase2_3_disease_directed_title	16.1718482357	6.1872644741	31.4596180199	19.1863651936	26.1352346694	NCT00148447[PHASE3] The Efficacy of Escitalopram for Negative Symptoms in Schizophrenia
379	19469	190	Schizophrenia	D012559	174	pramipexole	DB00413	1407	DRD4	1815	strict_phase2_3_disease_directed_title	15.3350890716	11.3579136691	55.4558496060	43.3842925659	55.1351062008	NCT01320982[PHASE3] Minocycline, Acetylsalicylic Acid or Pramipexole vs Placebo in Patients With Schizophrenia or Schizoaffective Disorder
