candidate_index,disease_local_id,disease_global_id,disease_mesh_id,disease_name,drug_local_id,drug_global_id,drugbank_id,drug_name,gene_local_id,gene_global_id,gene_entrez_id,gene_symbol,drug_gene_edge_in_ms,gene_disease_edge_in_ms,drug_disease_edge_in_ms,ms_motif
76,112,112,D012640,Seizures,375,1069,DB00746,deferoxamine-mesylate,7,1973,351,APP,True,True,False,gene_star
77,115,115,D004827,Epilepsy,375,1069,DB00746,deferoxamine-mesylate,7,1973,351,APP,True,True,False,gene_star
78,121,121,D020734,Parkinsonian Disorders,375,1069,DB00746,deferoxamine-mesylate,7,1973,351,APP,True,True,False,gene_star
79,139,139,D008881,Migraine Disorders,375,1069,DB00746,deferoxamine-mesylate,7,1973,351,APP,True,True,False,gene_star
80,162,162,D003866,Depressive Disorder,375,1069,DB00746,deferoxamine-mesylate,7,1973,351,APP,True,True,False,gene_star
81,183,183,D006261,Headache,375,1069,DB00746,deferoxamine-mesylate,7,1973,351,APP,True,True,False,gene_star
82,191,191,D001714,Bipolar Disorder,375,1069,DB00746,deferoxamine-mesylate,7,1973,351,APP,True,True,False,gene_star
83,260,260,D002545,Brain Ischemia,375,1069,DB00746,deferoxamine-mesylate,7,1973,351,APP,True,True,False,gene_star
84,532,532,D003704,Dementia,375,1069,DB00746,deferoxamine-mesylate,7,1973,351,APP,True,True,False,gene_star
85,555,555,D003294,"Seizures, Febrile",375,1069,DB00746,deferoxamine-mesylate,7,1973,351,APP,True,True,False,gene_star
86,647,647,D001008,Anxiety Disorders,375,1069,DB00746,deferoxamine-mesylate,7,1973,351,APP,True,True,False,gene_star
87,65,65,D000686,Amyloidosis,864,1558,DB06782,dimercaprol,7,1973,351,APP,True,True,False,gene_star
88,80,80,D000544,Alzheimer Disease,864,1558,DB06782,dimercaprol,7,1973,351,APP,True,True,False,gene_star
89,85,85,D020521,Stroke,864,1558,DB06782,dimercaprol,7,1973,351,APP,True,True,False,gene_star
90,112,112,D012640,Seizures,864,1558,DB06782,dimercaprol,7,1973,351,APP,True,True,False,gene_star
91,115,115,D004827,Epilepsy,864,1558,DB06782,dimercaprol,7,1973,351,APP,True,True,False,gene_star
92,121,121,D020734,Parkinsonian Disorders,864,1558,DB06782,dimercaprol,7,1973,351,APP,True,True,False,gene_star
93,139,139,D008881,Migraine Disorders,864,1558,DB06782,dimercaprol,7,1973,351,APP,True,True,False,gene_star
94,162,162,D003866,Depressive Disorder,864,1558,DB06782,dimercaprol,7,1973,351,APP,True,True,False,gene_star
95,183,183,D006261,Headache,864,1558,DB06782,dimercaprol,7,1973,351,APP,True,True,False,gene_star
96,191,191,D001714,Bipolar Disorder,864,1558,DB06782,dimercaprol,7,1973,351,APP,True,True,False,gene_star
97,260,260,D002545,Brain Ischemia,864,1558,DB06782,dimercaprol,7,1973,351,APP,True,True,False,gene_star
