clinical_set_index,validation_pair_id,evidence_subset,evidence_review_status,condition_group,disease_local_id,disease_label,disease_cui,disease_mesh_id,drug_local_id,drug_global_id,drugbank_id,drug_name,gene_intermediaries,gene_symbols,gene_entrez_ids,candidate_indices,n_gene_bridges,hanami_median_top_percent,hanami_q1_top_percent,hanami_q3_top_percent,hard_clique_positive_seeds,ms_drug_disease_edge_present,has_exact_raw_drug_disease_bridge,hierarchy_specificity_flag,condition_match_kind,n_phase2_3_trials,phase2_3_phases,nct_ids,source_urls,example_trial_title,evidence_notes,source_table
107,42509a3fbc5613d2b593,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,641,1335,DB01175,escitalopram,SLC6A4|6532|pool:30409; SLC6A2|6530|pool:38984; SLC6A3|6531|pool:24240,SLC6A4; SLC6A2; SLC6A3,6532; 6530; 6531,30409;38984;24240,3,16.248072970195274,14.506252141144229,19.0604659129839,10,False,True,True,broader_narrower_depressive_spectrum,59,PHASE1|PHASE2;PHASE2;PHASE2|PHASE3;PHASE3,NCT00073411;NCT00080158;NCT00086307;NCT00107120;NCT00108979;NCT00109044;NCT00135421;NCT00136318;NCT00149825;NCT00166296;NCT00239954;NCT00296933;NCT00351169;NCT00351910;NCT00406640;NCT00415142;NCT00420004;NCT00432614;NCT00475878;NCT00488670;NCT00531622;NCT00566202;NCT00610506;NCT00642694;NCT00668525;NCT00822744;NCT00837564;NCT00953108;NCT00965497;NCT01020799;NCT01034995;NCT01111539;NCT01111552;NCT01111565;NCT01123707;NCT01219686;NCT01360866;NCT01363310;NCT01368432;NCT01369095;NCT01655706;NCT01741142;NCT02153567;NCT02191397;NCT02374567;NCT02469545;NCT02623231;NCT02674529;NCT03652870;NCT03852160;NCT03909217;NCT04162522;NCT04476030;NCT05536414;NCT05603104;NCT05950061;NCT05973786;NCT06705478;NCT06828887,https://clinicaltrials.gov/study/NCT00073411;https://clinicaltrials.gov/study/NCT00080158;https://clinicaltrials.gov/study/NCT00086307;https://clinicaltrials.gov/study/NCT00107120;https://clinicaltrials.gov/study/NCT00108979;https://clinicaltrials.gov/study/NCT00109044;https://clinicaltrials.gov/study/NCT00135421;https://clinicaltrials.gov/study/NCT00136318;https://clinicaltrials.gov/study/NCT00149825;https://clinicaltrials.gov/study/NCT00166296;https://clinicaltrials.gov/study/NCT00239954;https://clinicaltrials.gov/study/NCT00296933;https://clinicaltrials.gov/study/NCT00351169;https://clinicaltrials.gov/study/NCT00351910;https://clinicaltrials.gov/study/NCT00406640;https://clinicaltrials.gov/study/NCT00415142;https://clinicaltrials.gov/study/NCT00420004;https://clinicaltrials.gov/study/NCT00432614;https://clinicaltrials.gov/study/NCT00475878;https://clinicaltrials.gov/study/NCT00488670;https://clinicaltrials.gov/study/NCT00531622;https://clinicaltrials.gov/study/NCT00566202;https://clinicaltrials.gov/study/NCT00610506;https://clinicaltrials.gov/study/NCT00642694;https://clinicaltrials.gov/study/NCT00668525;https://clinicaltrials.gov/study/NCT00822744;https://clinicaltrials.gov/study/NCT00837564;https://clinicaltrials.gov/study/NCT00953108;https://clinicaltrials.gov/study/NCT00965497;https://clinicaltrials.gov/study/NCT01020799;https://clinicaltrials.gov/study/NCT01034995;https://clinicaltrials.gov/study/NCT01111539;https://clinicaltrials.gov/study/NCT01111552;https://clinicaltrials.gov/study/NCT01111565;https://clinicaltrials.gov/study/NCT01123707;https://clinicaltrials.gov/study/NCT01219686;https://clinicaltrials.gov/study/NCT01360866;https://clinicaltrials.gov/study/NCT01363310;https://clinicaltrials.gov/study/NCT01368432;https://clinicaltrials.gov/study/NCT01369095;https://clinicaltrials.gov/study/NCT01655706;https://clinicaltrials.gov/study/NCT01741142;https://clinicaltrials.gov/study/NCT02153567;https://clinicaltrials.gov/study/NCT02191397;https://clinicaltrials.gov/study/NCT02374567;https://clinicaltrials.gov/study/NCT02469545;https://clinicaltrials.gov/study/NCT02623231;https://clinicaltrials.gov/study/NCT02674529;https://clinicaltrials.gov/study/NCT03652870;https://clinicaltrials.gov/study/NCT03852160;https://clinicaltrials.gov/study/NCT03909217;https://clinicaltrials.gov/study/NCT04162522;https://clinicaltrials.gov/study/NCT04476030;https://clinicaltrials.gov/study/NCT05536414;https://clinicaltrials.gov/study/NCT05603104;https://clinicaltrials.gov/study/NCT05950061;https://clinicaltrials.gov/study/NCT05973786;https://clinicaltrials.gov/study/NCT06705478;https://clinicaltrials.gov/study/NCT06828887,Duloxetine Compared to Escitalopram and Placebo in the Treatment of Patients With Depression,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
108,165251de20d8b6a1f4d3,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,400,1094,DB00783,estradiol,ESR1|2099|pool:1593; CHRNA4|1137|pool:33062,ESR1; CHRNA4,2099; 1137,1593;33062,2,11.36198184309695,8.111189619732786,16.12121017471737,10,False,False,True,broader_narrower_depressive_spectrum,4,PHASE2;PHASE2|PHASE3,NCT00001481;NCT01126801;NCT01308814;NCT03689543,https://clinicaltrials.gov/study/NCT00001481;https://clinicaltrials.gov/study/NCT01126801;https://clinicaltrials.gov/study/NCT01308814;https://clinicaltrials.gov/study/NCT03689543,The Role of Hormones in Postpartum Mood Disorders,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
109,4fc1c4569f35461e59ab,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,169,863,DB00402,eszopiclone,GABRB3|2562|pool:24649; GABRA6|2559|pool:38102,GABRB3; GABRA6,2562; 2559,24649;38102,2,23.00124186365193,14.679684823569715,25.6380609797876,10,False,False,True,broader_narrower_depressive_spectrum,2,PHASE3,NCT00368030;NCT00435279,https://clinicaltrials.gov/study/NCT00368030;https://clinicaltrials.gov/study/NCT00435279,A Study of Eszopiclone in Subjects With Insomnia Related to Major Depressive Disorder,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
110,3f9da213fc0cbecf1d99,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,460,1154,DB00875,flupentixol,DRD2|1813|pool:18444; HTR2A|3356|pool:23017; DRD1|1812|pool:28035; DRD3|1814|pool:17700; 1816|1816|pool:46328,DRD2; HTR2A; DRD1; DRD3; 1816,1813; 3356; 1812; 1814; 1816,18444;23017;28035;17700;46328,5,7.898681055155876,6.653070400822199,11.776293251113396,10,False,True,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
111,f55ca46914ccd59e5708,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,296,990,DB00623,fluphenazine,DRD2|1813|pool:18300; HTR2A|3356|pool:22876; HTR2C|3358|pool:5118; DRD1|1812|pool:27978; AR|367|pool:5462; 1816|1816|pool:46309,DRD2; HTR2A; HTR2C; DRD1; AR; 1816,1813; 3356; 3358; 1812; 367; 1816,18300;22876;5118;27978;5462;46309,6,7.7659301130524145,4.963172319287427,8.743897738951695,10,False,True,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
112,923f8e8b12e849a28481,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,785,1479,DB04842,fluspirilene,DRD2|1813|pool:18836; HTR2A|3356|pool:23289; HTR1A|3350|pool:29654; HTR1D|3352|pool:30015,DRD2; HTR2A; HTR1A; HTR1D,1813; 3356; 3350; 3352,18836;23289;29654;30015,4,9.354659129838986,6.774580335731415,11.667094895512164,10,False,True,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
113,5dcc7fe7fa2d7fd788d4,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,27,721,DB00176,fluvoxamine,SLC6A4|6532|pool:30066,SLC6A4,6532,30066,1,15.2888403562864,13.99184224049332,21.97402792052073,10,False,True,False,broader_narrower_depressive_spectrum,2,PHASE2;PHASE3,NCT02374567;NCT04160377,https://clinicaltrials.gov/study/NCT02374567;https://clinicaltrials.gov/study/NCT04160377,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
114,c08f6143eb4b7a82a468,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,535,1229,DB00996,gabapentin,CACNA1C|775|pool:841; GRIN2B|2904|pool:20886; 2903|2903|pool:44216,CACNA1C; GRIN2B; 2903,775; 2904; 2903,841;20886;44216,3,19.83020726276122,16.814940904419323,23.18591555327167,10,False,True,True,broader_narrower_depressive_spectrum,2,PHASE2;PHASE3,NCT00654953;NCT02374567,https://clinicaltrials.gov/study/NCT00654953;https://clinicaltrials.gov/study/NCT02374567,"Clinical Efficacy of Sertraline Augmented With Gabapentin in Depressed, Recently Abstinent Cocaine-dependent Humans",Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
115,a64ebc0f963bc49a162f,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,548,1242,DB01018,guanfacine,ADRA2A|150|pool:32554,ADRA2A,150,32554,1,19.335602946214458,12.13279376498801,25.578108941418293,9,False,False,True,broader_narrower_depressive_spectrum,1,PHASE2,NCT06408246,https://clinicaltrials.gov/study/NCT06408246,ACE-D Aim 3 Clinical Cognitive Trial to Enhance Translation in Depression,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
116,a61d4211abd36295c128,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,229,923,DB00502,haloperidol,DRD2|1813|pool:18172; HTR2A|3356|pool:22799; HTR1A|3350|pool:29410; DRD1|1812|pool:27928; DRD3|1814|pool:17666; HTR7|3363|pool:38543; HTR1D|3352|pool:29933; 1816|1816|pool:46292; GRIN2B|2904|pool:20859,DRD2; HTR2A; HTR1A; DRD1; DRD3; HTR7; HTR1D; 1816; GRIN2B,1813; 3356; 3350; 1812; 1814; 3363; 3352; 1816; 2904,18172;22799;29410;27928;17666;38543;29933;46292;20859,9,7.570015416238437,3.393713600548133,7.894398766700925,10,False,True,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
117,20fb626e0bf47084df0f,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,567,1261,DB01050,ibuprofen,PTGS2|5743|pool:12064; BCL2|596|pool:3456,PTGS2; BCL2,5743; 596,12064;3456,2,3.9600462487153134,2.258907159986297,14.596715484755054,10,False,True,True,broader_narrower_depressive_spectrum,1,PHASE2|PHASE3,NCT02507219,https://clinicaltrials.gov/study/NCT02507219,Study of Ibuprofen Effects on Brain Function,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
118,4593ba667f14ff8d5c6f,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,259,953,DB00555,lamotrigine,CHRM2|1129|pool:35626; DRD2|1813|pool:18245; HTR2A|3356|pool:22838; GABRA3|2556|pool:37812; ADRA2A|150|pool:32430; DRD1|1812|pool:27952; GABRB3|2562|pool:24694; GABRA6|2559|pool:38116; OPRK1|4986|pool:16031; 1816|1816|pool:46299,CHRM2; DRD2; HTR2A; GABRA3; ADRA2A; DRD1; GABRB3; GABRA6; OPRK1; 1816,1129; 1813; 3356; 2556; 150; 1812; 2562; 2559; 4986; 1816,35626;18245;22838;37812;32430;27952;24694;38116;16031;46299,10,5.787512846865365,3.604616306954437,23.1184695101062,10,False,True,True,broader_narrower_depressive_spectrum,5,PHASE2;PHASE3,NCT00224510;NCT00475137;NCT00652171;NCT01042496;NCT02374567,https://clinicaltrials.gov/study/NCT00224510;https://clinicaltrials.gov/study/NCT00475137;https://clinicaltrials.gov/study/NCT00652171;https://clinicaltrials.gov/study/NCT01042496;https://clinicaltrials.gov/study/NCT02374567,A Study To Investigate The Antidepressant Effect Of Lamotrigine In Patients With Bipolar Disorder Using Lithium,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
119,9d522150e17e439867a7,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,1214,1908,DB01403,levomepromazine,DRD2|1813|pool:19253; HTR2A|3356|pool:23602; CHRM2|1129|pool:35905; HTR2C|3358|pool:5370; ADRA2A|150|pool:32710; DRD4|1815|pool:19657; 1816|1816|pool:46374,DRD2; HTR2A; CHRM2; HTR2C; ADRA2A; DRD4; 1816,1813; 3356; 1129; 3358; 150; 1815; 1816,19253;23602;35905;5370;32710;19657;46374,7,7.764859540938677,4.2801473107228505,9.81339928057554,10,False,True,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
120,2ff7392c91574eab1451,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,34,728,DB00186,lorazepam,GABRA3|2556|pool:37687; GABRA6|2559|pool:38073,GABRA3; GABRA6,2556; 2559,37687;38073,2,12.74837273038712,7.879946043165468,15.095066803699895,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
121,3633ea1ca953fac2a710,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,876,1570,DB08815,lurasidone,DRD2|1813|pool:18980; HTR2A|3356|pool:23392; HTR1A|3350|pool:29710; ADRA2A|150|pool:32665; HTR7|3363|pool:38640,DRD2; HTR2A; HTR1A; ADRA2A; HTR7,1813; 3356; 3350; 150; 3363,18980;23392;29710;32665;38640,5,9.825710859883522,7.381594724220624,11.334146968139772,10,False,True,True,broader_narrower_depressive_spectrum,6,PHASE3,NCT00868699;NCT00868959;NCT01284517;NCT01421134;NCT01423253;NCT02046369,https://clinicaltrials.gov/study/NCT00868699;https://clinicaltrials.gov/study/NCT00868959;https://clinicaltrials.gov/study/NCT01284517;https://clinicaltrials.gov/study/NCT01421134;https://clinicaltrials.gov/study/NCT01423253;https://clinicaltrials.gov/study/NCT02046369,Lurasidone - A 6-week Study of Patients With Bipolar I Depression (Monotherapy),Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
122,a0cad97f9aed75e3ffbb,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,320,1014,DB00657,mecamylamine,CHRNA4|1137|pool:33038,CHRNA4,1137,33038,1,31.28854059609455,23.279590613223707,34.22137290167866,10,False,False,True,broader_narrower_depressive_spectrum,2,PHASE2;PHASE3,NCT00563797;NCT00593879,https://clinicaltrials.gov/study/NCT00563797;https://clinicaltrials.gov/study/NCT00593879,Mecamylamine for the Treatment of Patients With Depression and Alcohol Dependence,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
123,ae241a84250d746b4731,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,576,1270,DB01065,melatonin,ESR1|2099|pool:1721,ESR1,2099,1721,1,9.5516443987667,7.63050274066461,14.857399794450153,10,False,False,True,broader_narrower_depressive_spectrum,2,PHASE2|PHASE3;PHASE3,NCT02374567;NCT05474846,https://clinicaltrials.gov/study/NCT02374567;https://clinicaltrials.gov/study/NCT05474846,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
124,44042b394d30b251050a,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,1061,1755,DB01043,memantine,DRD2|1813|pool:19048; HTR3A|3359|pool:43264; 2903|2903|pool:44274,DRD2; HTR3A; 2903,1813; 3359; 2903,19048;43264;44274,3,8.332262761219596,7.079693388146626,10.195593525179856,10,False,True,True,broader_narrower_depressive_spectrum,2,PHASE2|PHASE3;PHASE3,NCT01876823;NCT02374567,https://clinicaltrials.gov/study/NCT01876823;https://clinicaltrials.gov/study/NCT02374567,Memantine Plus Es-citalopram in Elderly Depressed Patients With Cognitive Impairment,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
125,c9ec0e8e36f4e8693e1b,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,181,875,DB00422,methylphenidate,SLC6A4|6532|pool:30188; SLC6A3|6531|pool:23949; SLC6A2|6530|pool:38826,SLC6A4; SLC6A3; SLC6A2,6532; 6531; 6530,30188;23949;38826,3,15.180712572798903,12.884335388831792,21.09508821514217,10,False,True,True,broader_narrower_depressive_spectrum,3,PHASE2|PHASE3;PHASE3,NCT00246233;NCT01497548;NCT05474846,https://clinicaltrials.gov/study/NCT00246233;https://clinicaltrials.gov/study/NCT01497548;https://clinicaltrials.gov/study/NCT05474846,CONCERTA® (Methylphenidate Hydrochloride) as add-on Therapy in the Treatment of Adult Major Depressive Disorder.,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
126,081015c1b637378a2852,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,815,1509,DB06148,mianserin,DRD2|1813|pool:18926; HTR2A|3356|pool:23353; SLC6A4|6532|pool:30462; DRD1|1812|pool:28166; HTR1A|3350|pool:29686; ADRA2A|150|pool:32636; HTR2C|3358|pool:5287; SLC6A3|6531|pool:24312; DRD3|1814|pool:17799; SLC6A2|6530|pool:39037; HTR7|3363|pool:38629; OPRK1|4986|pool:16092; 1816|1816|pool:46366,DRD2; HTR2A; SLC6A4; DRD1; HTR1A; ADRA2A; HTR2C; SLC6A3; DRD3; SLC6A2; HTR7; OPRK1; 1816,1813; 3356; 6532; 1812; 3350; 150; 3358; 6531; 1814; 6530; 3363; 4986; 1816,18926;23353;30462;28166;29686;32636;5287;24312;17799;39037;38629;16092;46366,13,9.039910928400136,5.186386605001713,12.338343610825625,10,False,True,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
127,b26add0a4baaf58dc829,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,430,1124,DB00834,mifepristone,AR|367|pool:5566; NR3C1|2908|pool:2964,AR; NR3C1,367; 2908,5566;2964,2,12.14992291880781,10.580464200068516,13.661570743405276,10,False,True,True,broader_narrower_depressive_spectrum,8,PHASE2;PHASE2|PHASE3;PHASE3,NCT00128479;NCT00128505;NCT00130676;NCT00146523;NCT00208156;NCT00637494;NCT00725270;NCT05217758,https://clinicaltrials.gov/study/NCT00128479;https://clinicaltrials.gov/study/NCT00128505;https://clinicaltrials.gov/study/NCT00130676;https://clinicaltrials.gov/study/NCT00146523;https://clinicaltrials.gov/study/NCT00208156;https://clinicaltrials.gov/study/NCT00637494;https://clinicaltrials.gov/study/NCT00725270;https://clinicaltrials.gov/study/NCT05217758,A United States Study of the Safety and Tolerability of Corlux for Psychotic Symptoms in Psychotic Major Depression,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
128,164b49899669e989f1a8,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,797,1491,DB04896,milnacipran,SLC6A4|6532|pool:30452; SLC6A2|6530|pool:39031,SLC6A4; SLC6A2,6532; 6530,30452;39031,2,15.85517300445358,14.158851490236382,21.240686022610483,10,False,True,False,broader_narrower_depressive_spectrum,2,PHASE2|PHASE3;PHASE3,NCT00225511;NCT02783430,https://clinicaltrials.gov/study/NCT00225511;https://clinicaltrials.gov/study/NCT02783430,Study Evaluating Effexor XR for Major Depression.,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
129,ac93e9842ecfdef097b4,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,146,840,DB00370,mirtazapine,DRD2|1813|pool:18030; HTR2A|3356|pool:22699; SLC6A4|6532|pool:30168; ADRB1|153|pool:226; DRD1|1812|pool:27862; HTR2C|3358|pool:5033; SLC6A3|6531|pool:23922; DRD3|1814|pool:17616; ADRA2A|150|pool:32375; SLC6A2|6530|pool:38814; HTR7|3363|pool:38516; 1816|1816|pool:46276; HTR3A|3359|pool:43155,DRD2; HTR2A; SLC6A4; ADRB1; DRD1; HTR2C; SLC6A3; DRD3; ADRA2A; SLC6A2; HTR7; 1816; HTR3A,1813; 3356; 6532; 153; 1812; 3358; 6531; 1814; 150; 6530; 3363; 1816; 3359,18030;22699;30168;226;27862;5033;23922;17616;32375;38814;38516;46276;43155,13,8.06890202124015,4.568666495375128,10.921976704350804,10,False,True,True,broader_narrower_depressive_spectrum,9,PHASE2;PHASE2|PHASE3;PHASE3,NCT00080158;NCT00249444;NCT00322309;NCT02185131;NCT02374567;NCT02646449;NCT02650544;NCT03852160;NCT06309472,https://clinicaltrials.gov/study/NCT00080158;https://clinicaltrials.gov/study/NCT00249444;https://clinicaltrials.gov/study/NCT00322309;https://clinicaltrials.gov/study/NCT02185131;https://clinicaltrials.gov/study/NCT02374567;https://clinicaltrials.gov/study/NCT02646449;https://clinicaltrials.gov/study/NCT02650544;https://clinicaltrials.gov/study/NCT03852160;https://clinicaltrials.gov/study/NCT06309472,Treatment of Adolescent Suicide Attempters (TASA),Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
130,ec7832089d84200e54ec,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,374,1068,DB00745,modafinil,SLC6A3|6531|pool:24051,SLC6A3,6531,24051,1,18.774623158615967,14.621338643371018,29.49051473107228,10,False,False,True,broader_narrower_depressive_spectrum,4,PHASE2|PHASE3;PHASE3,NCT00215176;NCT03620253;NCT04317001;NCT07263022,https://clinicaltrials.gov/study/NCT00215176;https://clinicaltrials.gov/study/NCT03620253;https://clinicaltrials.gov/study/NCT04317001;https://clinicaltrials.gov/study/NCT07263022,Modafinil for Atypical Depression,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
131,b84ebbe34c9033ab7211,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,350,1044,DB00704,naltrexone,OPRM1|4988|pool:28805; OPRK1|4986|pool:16043,OPRM1; OPRK1,4988; 4986,28805;16043,2,19.924417608770128,16.000235525865023,23.952980472764647,10,False,False,True,broader_narrower_depressive_spectrum,2,PHASE2;PHASE3,NCT00338962;NCT01874951,https://clinicaltrials.gov/study/NCT00338962;https://clinicaltrials.gov/study/NCT01874951,Naltrexone & SSRI in Alcoholics With Depression/PTSD,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
132,19ea2c899701e5af8461,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,162,Depressive Disorder,C1269683,D003866,124,818,DB00334,olanzapine,CHRM2|1129|pool:35524; HTR2A|3356|pool:22675; ADRB1|153|pool:198; HTR1A|3350|pool:29363; HTR2C|3358|pool:5021; DRD1|1812|pool:27847; ADRA2A|150|pool:32360; GABRB3|2562|pool:24625; DRD3|1814|pool:17604; HTR1B|3351|pool:9918; HTR1D|3352|pool:29916; 1816|1816|pool:46269; DRD4|1815|pool:19449; HTR3A|3359|pool:43141,CHRM2; HTR2A; ADRB1; HTR1A; HTR2C; DRD1; ADRA2A; GABRB3; DRD3; HTR1B; HTR1D; 1816; DRD4; HTR3A,1129; 3356; 153; 3350; 3358; 1812; 150; 2562; 1814; 3351; 3352; 1816; 1815; 3359,35524;22675;198;29363;5021;27847;32360;24625;17604;9918;29916;46269;19449;43141,14,7.549674546077423,5.37373672490579,26.48327766358342,10,False,True,True,broader_narrower_depressive_spectrum,9,PHASE1|PHASE2;PHASE3,NCT00035321;NCT00056472;NCT00273624;NCT00510146;NCT00568672;NCT01282632;NCT01687478;NCT02374567;NCT05814640,https://clinicaltrials.gov/study/NCT00035321;https://clinicaltrials.gov/study/NCT00056472;https://clinicaltrials.gov/study/NCT00273624;https://clinicaltrials.gov/study/NCT00510146;https://clinicaltrials.gov/study/NCT00568672;https://clinicaltrials.gov/study/NCT01282632;https://clinicaltrials.gov/study/NCT01687478;https://clinicaltrials.gov/study/NCT02374567;https://clinicaltrials.gov/study/NCT05814640,The Study of Olanzapine Plus Fluoxetine in Combination for Treatment of Treatment Resistant Depression,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
