drug_name,drug_SMILES,DB_id
moxifloxacin,COc1c2c(cc(c1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,DB00218
glimepiride,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,DB00222
DIFLORASONE,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C)F,DB00223
guanadrel,C1CCC2(CC1)OCC(O2)CN=C(N)N,DB00226
lovastatin,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,DB00227
pregabalin,CC(C)CC(CC(=O)O)CN,DB00230
Temazepam,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,DB00231
methyclothiazide,CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl,DB00232
aminosalicylate,C1=CC(=C(C=C1N)O)C(=O)O,DB00233
milrinone,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,DB00235
butabarbital,CCC(C)C1(C(=O)NC(=O)NC1=O)CC,DB00237
ALCLOMETASONE,CC1CC2C3C(CC4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)CO)O)C)O)C)Cl,DB00240
butalbital,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,DB00241
cladribine,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,DB00242
ranolazine,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O,DB00243
mesalazine,C1=CC(=C(C=C1N)C(=O)O)O,DB00244
Benzatropine,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4,DB00245
ziprasidone,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,DB00246
cabergoline,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C,DB00248
dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,DB00250
phenytoin,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,DB00252
medrysone,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)CC4)C)O)C)C(=O)C,DB00253
doxycycline,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,DB00254
anagrelide,C1C2=C(C=CC(=C2Cl)Cl)N=C3N1CC(=O)N3,DB00261
carmustine,C(CCl)NC(=O)N(CCCl)N=O,DB00262
metoprolol,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,DB00264
dicoumarol,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,DB00266
ropinirole,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,DB00268
isradipine,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,DB00270
topiramate,CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C,DB00273
olmesartan,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,DB00275
Theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,DB00277
liothyronine,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O,DB00279
disopyramide,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,DB00280
lidocaine,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,DB00281
pamidronate,C(CN)C(O)(P(=O)(O)O)P(=O)(O)O,DB00282
clemastine,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCCC3CCCN3C,DB00283
acarbose,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO,DB00284
venlafaxine,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,DB00285
Conjugated Estrogens,CC12CCC3C(=CCC4=C3C=CC(=C4)OS(=O)(=O)O)C1CCC2=O,DB00286
travoprost,CC(C)OC(=O)CCCC=CCC1C(CC(C1C=CC(COC2=CC=CC(=C2)C(F)(F)F)O)O)O,DB00287
amcinonide,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6,DB00288
atomoxetine,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2,DB00289
bleomycin,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,DB00290
Morphine,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,DB00295
bupivacaine,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,DB00297
tenofovir-disoproxil,CC(C)OC(=O)OCOP(=O)(COC(C)CN1C=NC2=C(N=CN=C21)N)OCOC(=O)OC(C)C,DB00300
Tranexamic Acid,C1CC(CCC1CN)C(=O)O,DB00302
bexarotene,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,DB00307
vindesine,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)N)O)O)CC)OC)C(=O)OC)O,DB00309
chlorthalidone,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,DB00310
Pentobarbital,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,DB00312
Valproic Acid,CCCC(CCC)C(=O)O,DB00313
zolmitriptan,CN(C)CCC1=CNC2=C1C=C(C=C2)CC3COC(=O)N3,DB00315
paracetamol,CC(=O)NC1=CC=C(C=C1)O,DB00316
gefitinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,DB00317
Codeine,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O,DB00318
dihydroergotamine,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,DB00320
amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,DB00321
floxuridine,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O,DB00322
Tolcapone,CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],DB00323
fluorometholone,CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O,DB00324
Nitroprusside,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],DB00325
Hydromorphone,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,DB00327
indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,DB00328
metformin,CN(C)C(=N)N=C(N)N,DB00331
ipratropium,CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C,DB00332
olanzapine,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,DB00334
atenolol-(+/-),CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,DB00335
omeprazole,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,DB00338
pyrazinamide,C1=CN=C(C=N1)C(=O)N,DB00339
cetirizine,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,DB00341
diltiazem,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,DB00343
protriptyline,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13,DB00344
trimethadione,CC1(C(=O)N(C(=O)O1)C)C,DB00347
nitisinone,C1CC(=O)C(C(=O)C1)C(=O)C2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-],DB00348
clobazam,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,DB00349
minoxidil,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,DB00350
megestrol acetate,CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C,DB00351
thioguanine,C1=NC2=C(N1)C(=S)N=C(N2)N,DB00352
chlorzoxazone,C1=CC2=C(C=C1Cl)NC(=O)O2,DB00356
aminoglutethimide,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,DB00357
sapropterin,CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O,DB00360
vinorelbine,CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,DB00361
clozapine,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,DB00363
sucralfate,C(C1C(C(C(C(O1)OC2(C(C(C(O2)COS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])COS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al].O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[Al],DB00364
doxylamine,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,DB00366
levonorgestrel,CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34,DB00367
norepinephrine,C1=CC(=C(C=C1C(CN)O)O)O,DB00368
mirtazapine,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,DB00370
meprobamate,CCCC(C)(COC(=O)N)COC(=O)N,DB00371
timolol,CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O,DB00373
trihexyphenidyl,C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O,DB00376
palonosetron,C1CC2CN(C(=O)C3=CC=CC(=C23)C1)C4CN5CCC4CC5,DB00377
mexiletine,CC1=C(C(=CC=C1)C)OCC(C)N,DB00379
amlodipine,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,DB00381
triamterene,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,DB00384
valrubicin,CCCCC(=O)OCC(=O)C1(CC(C2=C(C1)C(=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4OC)O)OC5CC(C(C(O5)C)O)NC(=O)C(F)(F)F)O,DB00385
procyclidine,C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O,DB00387
phenylephrine,CNCC(C1=CC(=CC=C1)O)O,DB00388
carbimazole,CCOC(=O)N1C=CN(C1=S)C,DB00389
digoxin,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,DB00390
SULPIRIDE,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,DB00391
nimodipine,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,DB00393
beclomethasone-dipropionate,CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)Cl)O)C)C)OC(=O)CC,DB00394
carisoprodol,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,DB00395
progesterone,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,DB00396
Phenylpropanolamine,CC(C(C1=CC=CC=C1)O)N,DB00397
sorafenib,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,DB00398
zoledronic-acid,C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O,DB00399
griseofulvin,CC1CC(=O)C=C(C12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,DB00400
nisoldipine,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,DB00401
eszopiclone,CN1CCN(CC1)C(=O)OC2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,DB00402
Alprazolam,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,DB00404
Dexbrompheniramine,CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2,DB00405
loxapine,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,DB00408
carbachol,C[N+](C)(C)CCOC(=O)N.[Cl-],DB00411
pramipexole,CCCNC1CCC2=C(C1)SC(=N2)N,DB00413
ampicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,DB00415
penicillin-v-potassium,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C,DB00417
Secobarbital,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C,DB00418
miglustat,CCCCN1CC(C(C(C1CO)O)O)O,DB00419
promazine,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31,DB00420
spironolactone,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C,DB00421
methylphenidate,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,DB00422
methocarbamol,COC1=CC=CC=C1OCC(COC(=O)N)O,DB00423
hyoscyamine,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,DB00424
zolpidem,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,DB00425
triprolidine,CC1=CC=C(C=C1)C(=CCN2CCCC2)C3=CC=CC=N3,DB00427
Trifluridine,C1C(C(OC1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O,DB00432
prochlorperazine,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,DB00433
cyproheptadine,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,DB00434
Nitric Oxide,[N]=O,DB00435
bendroflumethiazide,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,DB00436
allopurinol,C1=NNC2=C1C(=O)NC=N2,DB00437
trimethoprim,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,DB00440
gemcitabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,DB00441
betamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,DB00443
teniposide,COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)OC6C(C(C7C(O6)COC(O7)C8=CC=CS8)O)O,DB00444
epirubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,DB00445
