,dise_Name,dise_id,dise_MeSH,dise_MS_no
307,ankylosing spondylitis,C0038013,D013167,268
308,Bronchial Hyperreactivity,C0085129,D016535,631
309,vitamin B6 deficiency,C0936215,D026681,82
310,"Amyloid Neuropathies, Familial",C0206245,D028227,598
311,Attention Deficit And Disruptive Behavior Disorders,C0236964,D019958,364
312,Thrombasthenia,C0040015,D013915,668
313,Menorrhagia,C0025323,D008595,255
314,Back Pain,C0004604,D017116,640
315,Iron Deficiency Anemia,C0162316,D018798,33
316,Vitamin A Deficiency,C0042842,D014802,59
317,Spinal Cord Neoplasms,C0037930,D013120,102
318,Glioblastoma Multiforme,C1621958,D005909,217
319,Medullary Carcinoma,C0206693,D018276,493
320,Ectopic Pregnancy,C0032987,D011271,490
321,hairy cell leukemia,C0023443,D007943,184
322,Renal Hypertension,C0020544,D006977,552
323,cystinuria,C0010691,D003555,491
324,Mucocutaneous Lymph Node Syndrome,C0026691,D009080,671
325,Metrorrhagia,C0025874,D008796,307
326,"Alopecia, Male Pattern",C4083212,D000505,280
327,vitamin K deficiency,C0042880,D014813,528
328,"Hyperlipidemia, Familial Combined",C0020474,D006950,88
329,Pituitary Dwarfism,C0013338,D046150,684
330,heterotopic ossification,C0029396,D009999,540
331,Keratosis Follicularis,C0022595,D007644,469
332,Bladder Neck Obstruction,C0005694,D001748,512
333,"Glaucoma, Open-Angle",C0017612,D005902,49
334,Duodenal Ulcer,C0013295,D004381,277
335,lymphangioleiomyomatosis,C0751674,D018192,502
336,Tuberous Sclerosis,C0041341,D014402,579
337,"Shock, Cardiogenic",C0036980,D012770,302
338,Extrinsic allergic alveolitis,C0002390,D000542,497
339,Chlamydia Infections,C0008149,D002690,205
340,Refractory Anemias,C0002893,D000753,571
341,Hemochromatosis,C0018995,D006432,465
342,coronary artery restenosis,C0948480,D023903,675
343,Mycosis Fungoides,C0026948,D009182,348
344,Antithrombin Iii Deficiency,C0272375,D020152,616
345,Blast Phase,C0005699,D001752,408
346,Hidradenitis Suppurativa,C0162836,D017497,676
347,Aplastic Anemia,C0002874,D000741,516
348,Diabetic Retinopathy,C0011884,D003930,677
349,Refractive Errors,C0034951,D012030,488
350,Iridocyclitis,C0022073,D015863,198
351,Autoimmune Thyroiditis,C0920350,D050031,358
352,Mastocytosis,C0024899,D034721,367
353,Spondylolysis,C0038018,D013169,103
354,restless leg syndrome,C0035258,D012148,224
355,prostatitis,C0033581,D011472,379
356,Epididymitis,C0014534,D004823,551
357,Food Allergy,C0016470,D005512,329
358,Urination Disorders,C0042035,D014555,638
359,"Angioedemas, Hereditary",C0019243,D054179,592
360,Dysmenorrhea,C0013390,D004412,138
361,Disseminated Intravascular Coagulation,C0012739,D004211,544
362,Laryngeal Edema,C0023052,D007819,345
363,Lupus Nephritis,C0024143,D008181,375
364,Angiolymphoid hyperplasia,C0017531,D005871,680
365,"Hyperparathyroidism, Secondary",C0020503,D006962,623
366,Premature Obstetric Labor,C0022876,D007752,272
367,Hepatic Veno-Occlusive Disease,C0019156,D006504,681
368,Tourette's disorder,C0040517,D005879,368
369,chronic pain,C0150055,D059350,123
370,adrenogenital syndrome,C0302280,D047808,682
371,"Angina, Unstable",C0002965,D000789,478
372,Peptic Esophagitis,C0014869,D004942,275
373,postherpetic neuralgia,C0032768,D051474,178
374,Complex Partial Seizures,C0149958,D017029,261
375,Benign Neonatal Epilepsy,C0270851,D020936,553
376,"Leukemia, Myeloid, Accelerated Phase",C0023472,D015465,407
377,Folic Acid Deficiency,C0016412,D005494,72
378,dysthymic disorder,C0013415,D019263,513
379,Factor Vii Deficiency,C0015503,D005168,683
380,Alopecia Areata,C0002171,D000506,415
381,"Abortion, Habitual",C0000809,D000026,627
382,methemoglobinemia,C0025637,D008708,42
383,"Tyrosinemia, Type I",C0268490,D020176,43
384,Paroxysmal Nocturnal Hemoglobinuria,C0024790,D006457,686
385,Wernicke-Korsakoff Syndrome,C0349464,D020915,67
386,Parathyroid Gland Adenocarcinoma,C0687150,D010282,624
387,Vitamin B 12 Deficiency,C0042847,D014806,34
388,Cerebrovascular Disorders,C0007820,D002561,480
389,Overactive Bladder,C0878773,D053201,149
390,urinary retention,C0080274,D016055,526
391,Grave's disease,C0018213,D006111,301
392,beta Thalassemia,C0005283,D017086,346
393,Priapism,C0033117,D011317,310
394,Dysuria,C0013428,D053159,181
395,Acute Erythroblastic Leukemia,C0023440,D004915,458
396,Malignant Hypertension,C0020540,D006974,281
397,"Sleep Disorders, Circadian Rhythm",C0877792,D020178,537
398,Brain Abscess,C0006105,D001922,509
399,Porphyria Cutanea Tarda,C0162566,D017119,580
400,Escherichia coli Infections,C0014836,D004927,317
401,"Lupus Erythematosus, Discoid",C0024138,D008179,171
402,Meningococcal Meningitis,C0025294,D008585,316
403,amenorrhea,C0002453,D000568,308
404,Coronary Thrombosis,C0010072,D003328,685
405,Raynaud's disease,C0034734,D011928,360
